customer_id,full_name,date_of_birth,country,risk_rating
CUST0001,Ali Abdullayeva,1967-08-24,AZ,low
CUST0002,Semed Hasanova,1974-04-07,AZ,medium
CUST0003,Tural Quliyev,1973-04-01,AZ,high
CUST0004,Mahir Ismayilova,1980-11-30,DE,low
CUST0005,Ali Rzayev,1968-10-04,AZ,high
CUST0006,Ismayil Suleymanov,1990-11-30,DE,low
CUST0007,Ahmed Suleymanov,1998-10-29,AZ,low
CUST0008,Ismayil Suleymanov,1969-12-18,AZ,high
CUST0009,Sevda Ismayilova,1994-04-16,AZ,low
CUST0010,Leyla Quliyev,1984-09-04,AZ,low
CUST0011,Mahir Suleymanov,1981-03-18,AZ,low
CUST0012,Semed Hasanova,1967-08-12,AZ,low
CUST0013,Rashad Mammadov,1984-01-03,AZ,low
CUST0014,Kamran Suleymanov,2001-05-04,AZ,low
CUST0015,Sevda Guliyev,1982-10-07,GE,low
CUST0016,Rashad Quliyev,2000-12-11,AZ,low
CUST0017,Ahmed Guliyev,2002-06-28,AZ,low
CUST0018,Kamran Hasanova,1973-03-02,AZ,low
CUST0019,Nigar Rzayev,1982-04-13,AZ,low
CUST0020,Ali Mammadov,1991-01-18,AZ,low
CUST0021,Tural Huseynova,1976-12-11,AZ,low
CUST0022,Gulnar Guliyev,1980-12-13,US,low
CUST0023,Elmar Huseynova,1983-11-16,AZ,low
CUST0024,Ismayil Hasanova,1960-11-08,GE,low
CUST0025,Sevda Aliyev,2001-08-01,AZ,low
CUST0026,Elmar Guliyev,1974-05-07,AZ,low
CUST0027,Leyla Quliyev,1997-01-10,AZ,low
CUST0028,Semed Guliyev,1987-12-08,GB,low
CUST0029,Sevda Abdullayeva,1986-12-01,AZ,low
CUST0030,Elmar Quliyev,1999-06-14,AZ,low
CUST0031,Semed Rzayev,2005-05-07,AZ,low
CUST0032,Rashad Hasanova,1991-05-08,AZ,medium
CUST0033,Sevda Mammadov,1977-11-29,AZ,medium
CUST0034,Semed Rzayev,1967-11-23,AZ,low
CUST0035,Tural Mammadov,1974-07-31,AZ,low
CUST0036,Ahmed Rzayev,1977-09-24,AZ,medium
CUST0037,Mahir Ismayilova,1991-07-29,AZ,medium
CUST0038,Tural Suleymanov,1987-12-27,AZ,low
CUST0039,Gulnar Aliyev,1989-02-20,TR,low
CUST0040,Leyla Suleymanov,2001-01-04,AZ,low
CUST0041,Gulnar Ismayilova,1984-12-02,AZ,low
CUST0042,Semed Ismayilova,1968-06-21,AZ,low
CUST0043,Nigar Abdullayeva,1993-02-04,TR,high
CUST0044,Sevda Huseynova,2003-04-19,AZ,low
CUST0045,Elmar Mammadov,1985-12-23,TR,medium
CUST0046,Elmar Aliyev,1977-08-25,AZ,medium
CUST0047,Mahir Huseynova,1983-09-16,AZ,low
CUST0048,Amina Quliyev,1963-05-17,AZ,low
CUST0049,Amina Rzayev,1986-03-11,AZ,low
CUST0050,Elmar Quliyev,1986-06-02,AZ,low
CUST0051,Amina Mammadov,1990-10-12,AZ,low
CUST0052,Elmar Abdullayeva,2001-12-31,AZ,medium
CUST0053,Ismayil Hasanova,1962-10-06,AZ,medium
CUST0054,Ahmed Rzayev,1998-02-12,AZ,low
CUST0055,Mahir Ismayilova,1961-05-14,AZ,low
CUST0056,Elmar Suleymanov,1988-12-15,AZ,low
CUST0057,Tural Huseynova,1986-07-03,DE,low
CUST0058,Semed Aliyev,1963-12-03,AZ,low
CUST0059,Rashad Aliyev,1997-01-29,AZ,low
CUST0060,Semed Mammadov,1988-02-06,AZ,low
CUST0061,Kamran Ismayilova,1985-09-09,AZ,low
CUST0062,Kamran Quliyev,1987-06-16,GB,low
CUST0063,Aysel Rzayev,1967-11-12,AZ,medium
CUST0064,Amina Aliyev,1994-05-05,AZ,low
CUST0065,Gulnar Ismayilova,1982-11-26,AZ,low
CUST0066,Kamran Huseynova,1975-07-05,AZ,low
CUST0067,Mahir Abdullayeva,1978-09-05,AZ,medium
CUST0068,Ali Abdullayeva,1960-06-07,AZ,low
