customer_id,full_name,date_of_birth,country,risk_rating
CUST0001,Leyla Guliyev,1994-10-16,DE,medium
CUST0002,Ahmed Ismayilova,1995-02-24,TR,low
CUST0003,Ismayil Ismayilova,2001-06-18,AZ,low
CUST0004,Nigar Abdullayeva,2000-06-13,AZ,low
CUST0005,Sevda Abdullayeva,1999-02-08,AZ,low
CUST0006,Nigar Hasanova,1964-11-25,GB,low
CUST0007,Elmar Hasanova,1996-06-22,AZ,low
CUST0008,Elmar Suleymanov,1999-11-09,AZ,low
CUST0009,Gulnar Suleymanov,1968-07-11,AZ,medium
CUST0010,Amina Abdullayeva,1971-12-02,AZ,low
CUST0011,Semed Guliyev,2004-03-03,AZ,low
CUST0012,Ismayil Mammadov,1973-11-06,AZ,medium
CUST0013,Kamran Ismayilova,2005-02-07,AZ,low
CUST0014,Rashad Hasanova,2002-04-28,AZ,medium
CUST0015,Elmar Abdullayeva,2003-09-28,GE,low
CUST0016,Ahmed Aliyev,1961-07-29,AZ,low
CUST0017,Sevda Guliyev,1993-10-15,AZ,low
CUST0018,Nigar Quliyev,1967-09-22,AZ,medium
CUST0019,Mahir Mammadov,1963-07-13,AZ,low
CUST0020,Nigar Ismayilova,1969-08-14,AZ,low
CUST0021,Ali Huseynova,1984-02-01,AZ,low
CUST0022,Ismayil Rzayev,2000-07-14,AZ,medium
CUST0023,Amina Ismayilova,2003-06-28,AZ,medium
CUST0024,Semed Aliyev,1998-02-05,AZ,low
CUST0025,Gulnar Mammadov,1985-06-13,AZ,low
CUST0026,Gulnar Rzayev,1977-10-10,DE,low
CUST0027,Leyla Rzayev,1993-09-06,AZ,low
CUST0028,Mahir Mammadov,1985-12-30,AZ,low
CUST0029,Leyla Rzayev,1997-06-07,AZ,low
CUST0030,Rashad Huseynova,1996-07-06,AZ,low
CUST0031,Ismayil Mammadov,1964-09-03,US,low
CUST0032,Amina Rzayev,2000-04-07,AZ,low
CUST0033,Kamran Huseynova,1989-12-05,AZ,high
CUST0034,Mahir Hasanova,1984-06-20,AZ,low
CUST0035,Nigar Quliyev,1990-05-11,AZ,medium
CUST0036,Ahmed Mammadov,1969-04-22,AZ,high
CUST0037,Semed Hasanova,1964-04-18,GE,medium
CUST0038,Kamran Huseynova,1967-10-09,AZ,low
CUST0039,Kamran Ismayilova,1976-02-20,AZ,medium
CUST0040,Amina Quliyev,1977-03-03,AZ,medium
CUST0041,Rashad Rzayev,1995-03-27,AZ,low
CUST0042,Ali Guliyev,1986-07-02,AZ,low
CUST0043,Leyla Hasanova,1984-11-20,US,medium
CUST0044,Semed Mammadov,1975-09-02,GB,low
CUST0045,Tural Guliyev,1968-03-16,AZ,low
CUST0046,Sevda Aliyev,2003-06-09,AZ,low
CUST0047,Ahmed Mammadov,2003-04-15,GB,low
CUST0048,Mahir Mammadov,1963-06-05,AZ,high
CUST0049,Amina Hasanova,1963-05-10,AZ,low
CUST0050,Sevda Quliyev,1996-12-08,AZ,low
CUST0051,Tural Hasanova,1969-12-18,TR,low
CUST0052,Semed Quliyev,1995-09-24,AZ,low
CUST0053,Mahir Mammadov,1996-07-18,AZ,low
CUST0054,Ali Hasanova,1964-09-19,AZ,low
CUST0055,Ismayil Quliyev,1962-06-28,AZ,low
CUST0056,Amina Aliyev,1985-02-24,TR,medium
CUST0057,Mahir Abdullayeva,1971-03-27,AZ,medium
CUST0058,Aysel Huseynova,1962-11-16,AZ,medium
CUST0059,Leyla Aliyev,1980-05-17,AZ,low
CUST0060,Semed Ismayilova,1982-05-15,TR,medium
CUST0061,Mahir Aliyev,1965-08-15,DE,low
CUST0062,Elmar Quliyev,1994-02-08,AZ,low
CUST0063,Semed Huseynova,1985-05-06,AZ,medium
CUST0064,Elmar Rzayev,1982-08-07,TR,low
CUST0065,Ali Mammadov,1981-08-10,AZ,medium
CUST0066,Elmar Ismayilova,1998-10-04,AZ,low
CUST0067,Sevda Suleymanov,1966-09-12,AZ,medium
CUST0068,Tural Suleymanov,1963-05-06,AZ,low
CUST0069,Kamran Quliyev,1987-01-17,AZ,low
CUST0070,Kamran Ismayilova,1961-11-18,AZ,low
CUST0071,Kamran Huseynova,1991-05-06,AZ,low
CUST0072,Aysel Quliyev,1985-08-22,AZ,low
CUST0073,Kamran Abdullayeva,1989-10-28,AZ,medium
CUST0074,Amina Huseynova,1984-12-10,AZ,low
CUST0075,Ismayil Quliyev,1991-10-15,AZ,low
CUST0076,Gulnar Abdullayeva,1999-10-22,AZ,low
CUST0077,Leyla Hasanova,1980-05-13,AZ,low
CUST0078,Rashad Guliyev,1967-09-07,AZ,low
CUST0079,Rashad Huseynova,2005-03-28,AZ,low
CUST0080,Semed Ismayilova,1981-04-30,TR,medium
CUST0081,Mahir Mammadov,1992-03-23,TR,low
CUST0082,Tural Hasanova,1967-06-26,AZ,medium
CUST0083,Sevda Suleymanov,1981-08-15,AZ,low
CUST0084,Mahir Guliyev,1982-02-07,AZ,medium
CUST0085,Aysel Ismayilova,1987-01-28,AZ,low
CUST0086,Leyla Huseynova,2001-09-18,AZ,low
CUST0087,Semed Suleymanov,1969-05-03,AZ,low
CUST0088,Ismayil Aliyev,1990-10-05,AZ,low
CUST0089,Aysel Rzayev,1972-12-18,AZ,low
CUST0090,Kamran Huseynova,1980-06-27,AZ,medium
CUST0091,Elmar Huseynova,1969-09-01,AZ,low
CUST0092,Gulnar Quliyev,1973-08-19,AZ,low
CUST0093,Rashad Ismayilova,1990-01-19,AZ,low
CUST0094,Rashad Suleymanov,1992-10-17,AZ,low
CUST0095,Leyla Suleymanov,2005-11-24,AZ,low
CUST0096,Ismayil Abdullayeva,1995-03-13,AZ,low
CUST0097,Elmar Quliyev,1969-11-03,AZ,low
CUST0098,Aysel Suleymanov,1997-08-23,AZ,low
CUST0099,Ali Suleymanov,1962-02-28,AZ,low
CUST0100,Mahir Abdullayeva,2005-02-13,TR,low
CUST0101,Gulnar Ismayilova,1995-07-27,AZ,low
CUST0102,Nigar Mammadov,1967-01-10,AZ,low
CUST0103,Nigar Suleymanov,1999-03-15,US,low
CUST0104,Semed Ismayilova,1961-04-06,AZ,low
CUST0105,Nigar Hasanova,2001-12-08,AZ,low
CUST0106,Ismayil Mammadov,1968-07-12,DE,low
CUST0107,Ahmed Ismayilova,1987-09-22,AZ,low
CUST0108,Rashad Suleymanov,1983-06-10,AZ,medium
CUST0109,Tural Aliyev,1989-01-06,AZ,low
CUST0110,Mahir Huseynova,2001-12-25,GE,low
CUST0111,Sevda Aliyev,1987-05-05,AZ,low
CUST0112,Kamran Mammadov,1988-06-29,AZ,low
CUST0113,Ismayil Aliyev,2003-11-18,AZ,low
CUST0114,Tural Quliyev,1960-04-21,AZ,low
CUST0115,Ismayil Rzayev,1964-02-25,AZ,low
CUST0116,Kamran Guliyev,1971-03-13,AZ,low
CUST0117,Elmar Ismayilova,2004-08-23,AZ,low
CUST0118,Nigar Rzayev,1994-12-16,AZ,low
CUST0119,Gulnar Huseynova,1981-04-22,AZ,low
CUST0120,Ali Ismayilova,1984-03-25,AZ,low
CUST0121,Kamran Huseynova,1983-08-29,AZ,low
CUST0122,Amina Hasanova,1999-04-22,AZ,low
CUST0123,Gulnar Rzayev,1961-05-22,AZ,medium
CUST0124,Aysel Quliyev,1991-12-25,AZ,low
CUST0125,Aysel Huseynova,1994-02-03,AZ,low
CUST0126,Leyla Hasanova,1990-08-02,AZ,low
CUST0127,Mahir Hasanova,1978-06-14,AZ,low
CUST0128,Semed Aliyev,1981-12-23,AZ,low
CUST0129,Kamran Abdullayeva,2005-03-09,AZ,low
CUST0130,Amina Quliyev,1976-01-21,DE,low
CUST0131,Nigar Mammadov,1977-09-06,AZ,low
CUST0132,Sevda Ismayilova,1975-11-03,AZ,low
CUST0133,Elmar Hasanova,1970-04-10,AZ,low
CUST0134,Tural Abdullayeva,1998-08-08,AZ,low
CUST0135,Gulnar Mammadov,1979-10-04,AZ,low
CUST0136,Ahmed Ismayilova,1972-12-17,AZ,low
CUST0137,Mahir Guliyev,1998-03-04,AZ,low
CUST0138,Gulnar Mammadov,1980-07-08,AZ,low
CUST0139,Mahir Guliyev,1985-08-28,AZ,medium
CUST0140,Rashad Ismayilova,1966-01-04,AZ,low
CUST0141,Sevda Aliyev,1961-04-11,AZ,low
CUST0142,Elmar Rzayev,2001-10-29,AZ,low
CUST0143,Amina Quliyev,1983-02-17,AZ,medium
CUST0144,Mahir Aliyev,1963-09-23,AZ,low
CUST0145,Ismayil Quliyev,2004-03-30,AZ,low
CUST0146,Kamran Huseynova,1992-03-30,AZ,low
CUST0147,Aysel Suleymanov,1983-04-02,AZ,medium
CUST0148,Semed Huseynova,1998-07-13,AZ,low
CUST0149,Aysel Mammadov,1980-04-23,AZ,low
CUST0150,Tural Quliyev,1998-02-27,AZ,high
CUST0151,Nigar Suleymanov,1995-01-14,AZ,high
CUST0152,Leyla Guliyev,2004-04-22,AZ,low
CUST0153,Elmar Quliyev,1985-09-19,DE,low
CUST0154,Sevda Mammadov,1987-12-12,AZ,low
CUST0155,Aysel Quliyev,1964-08-19,AZ,low
CUST0156,Sevda Huseynova,1998-07-02,AZ,low
CUST0157,Kamran Mammadov,1969-07-18,AZ,medium
CUST0158,Sevda Hasanova,2004-12-31,AZ,low
CUST0159,Ali Huseynova,1981-03-14,AZ,low
CUST0160,Leyla Abdullayeva,1997-10-15,AZ,low
CUST0161,Rashad Hasanova,1976-10-29,AZ,low
CUST0162,Rashad Guliyev,1997-09-10,AZ,low
CUST0163,Semed Quliyev,1996-11-27,AZ,low
CUST0164,Ismayil Mammadov,1966-03-05,AZ,low
CUST0165,Sevda Ismayilova,1965-11-09,AZ,medium
CUST0166,Aysel Guliyev,1969-07-25,AZ,low
CUST0167,Sevda Huseynova,1965-12-02,AZ,low
CUST0168,Aysel Rzayev,1979-04-15,AZ,low
CUST0169,Amina Suleymanov,1973-12-03,AZ,low
CUST0170,Sevda Mammadov,1981-05-31,AZ,low
